关键词 词频 权重
尼玛 45 1
大事件 39 0.9731
王尼玛 34 0.9567
节目 25 0.9125
尼玛 11 0.8823
无悔 14 0.8752
木子 9 0.8367
秦王 7 0.7956
加油 9 0.785
暴民 8 0.782
荆轲 5 0.7676
能量 6 0.7515
新年 6 0.7515
初心 4 0.7426
员工 6 0.7421
舆论 6 0.7381
创意 5 0.7295
祝福 5 0.7258
电影 6 0.7226
替身 4 0.7197
谢谢 5 0.7151
欢笑 4 0.7148
黑暗 4 0.703
脉动 3 0.6997
制作 4 0.6979
勇气 4 0.6976
风浪 3 0.6951
正义 4 0.6949
快乐 4 0.6926
鸡汤 3 0.6908
揭露 3 0.6865
粉丝 3 0.6862
好听 3 0.6835
搞笑 3 0.6814
在意 3 0.6811
大头 3 0.6797
老公 3 0.679
胜利 3 0.6777
路上 3 0.6776
创业 3 0.6762
衣服 3 0.6752
声音 3 0.6727
遇到 3 0.6725
困难 3 0.6722
品牌 3 0.6694
良心 3 0.668
压力 3 0.6674
美好 3 0.6673
呼啦啦 3 0.6663
债权人 3 0.6662
王欢 3 0.6628
支票 3 0.6601
死亡 3 0.6598
争锋 2 0.6594
共享 4 0.6572
多分钟 2 0.6544
老王 2 0.6535
投资商 2 0.6516
会心 2 0.6503
大队长 2 0.6501
摆设 2 0.6494
面孔 2 0.6475
公交车 2 0.647
问问 2 0.6454
感冒 2 0.6444
默默 2 0.6444
中考 2 0.6443
唱歌 2 0.6438
动人 2 0.6436
抱怨 2 0.6428
五大 2 0.6427
风趣 2 0.6421
眼光 2 0.6416
人工智能 2 0.6411
超大 2 0.6409
观众 2 0.6405
流逝 2 0.6403
前行 2 0.6402
谣言 2 0.6394
难受 2 0.6393
变态 2 0.639
小姐 2 0.639
可爱 2 0.6384
关心 2 0.6383
漂亮 2 0.6377
看不到 2 0.6365
美丽 2 0.6364
创造 2 0.6362
不见 2 0.6361
凶手 2 0.6359
这歌 2 0.6352
幽默 2 0.6349
一期 2 0.6347
机器人 2 0.6345
证据 2 0.6338
暗物质 2 0.6336
回忆 2 0.6335
元旦 2 0.6331
桌子 2 0.6319
弹幕 2 0.6318
日子 2 0.6317
记忆 2 0.6317
意外险 2 0.6313
妨碍 2 0.6301
债务人 2 0.6297
欢乐 2 0.6296
人生 2 0.6293
杀人 2 0.6291
年轻人 2 0.6288
小明 2 0.6286
丝光 2 0.6283
精神 2 0.6276
精彩 2 0.6275
一如既往 2 0.6271
警察 2 0.6267
感动 2 0.6266
故事 2 0.6265
压抑 2 0.6252
同学 2 0.6248
老师 2 0.6245
做生意 2 0.6238
人类 2 0.6237
现实 2 0.623
道德 2 0.6226
潘金莲 2 0.619
辛苦 2 0.6188
歌曲 2 0.6179
模仿 2 0.6168
人才 2 0.6165
人身 2 0.6161
儿子 2 0.6148
错误 2 0.6107
太监 2 0.6107
凌晨 2 0.6103
播放 2 0.6095
财务 2 0.6083
偷偷 2 0.6053
叶师 2 0.6034
一百 2 0.6026
世界 2 0.601
反讽 1 0.6009
讽刺 2 0.6008
节操 1 0.6004
短剧 1 0.5992
扮演 2 0.5984
欺压 1 0.5976
年终奖 2 0.5972
小杨 1 0.597
可看性 1 0.5966
演技 2 0.5963
