keywords sum 权重
尼玛 384 1
王尼玛 249 0.9698
大事件 119 0.8986
老师 96 0.8612
节目 58 0.8214
木子 46 0.8582
同学 44 0.7888
孩子 43 0.7859
大头 42 0.8175
学生 38 0.7703
老公 36 0.7876
学校 29 0.7458
变态 23 0.7532
名字 23 0.73
电影 22 0.7249
结婚 22 0.7285
朋友 22 0.7174
加油 21 0.7344
世界 21 0.7116
无悔 21 0.7558
谢谢 21 0.717
学习 21 0.7115
职业 21 0.7193
身体 20 0.7151
肾结石 20 0.7554
道德 19 0.7164
父母 18 0.7074
一期 18 0.7214
游戏 18 0.7025
淮南 17 0.7008
漂亮 17 0.7025
开心 16 0.7023
女生 16 0.7074
秦王 16 0.7399
员工 16 0.6852
粉丝 15 0.7108
厉害 15 0.6988
文化 15 0.6788
小学 15 0.6962
遇到 15 0.6902
阿香 14 0.6705
打死 14 0.7057
记得 14 0.6869
江苏 14 0.654
老婆 14 0.6951
串烧 13 0.7019
好看 13 0.6882
荆轲 13 0.7336
伤害 13 0.6828
头套 13 0.7295
感动 12 0.6769
故事 12 0.6674
喝水 12 0.674
能量 12 0.6812
心里 12 0.6745
兄弟 12 0.6741
医生 12 0.6705
鼻子 11 0.6776
毕业 11 0.6625
儿子 11 0.6663
歌曲 11 0.654
狗狗 11 0.6805
健康 11 0.6593
女朋友 11 0.6766
女性 11 0.6655
王者 11 0.6831
音乐 11 0.6578
祝福 11 0.6707
作业 11 0.6646
禅师 10 0.6882
反抗 10 0.6681
寒假 10 0.6425
喝酒 10 0.6596
教育 10 0.6467
快乐 10 0.646
卢本 10 0.6622
旅行 10 0.6639
旅游 10 0.6491
梦想 10 0.6582
头上 10 0.6657
媳妇 10 0.677
想起 10 0.6605
运动 10 0.6554
肮脏 9 0.6703
爸妈 9 0.6663
办法 9 0.6388
保健品 9 0.6567
背后 9 0.6521
不见 9 0.6501
大队长 9 0.6742
家里 9 0.6473
老王 9 0.6805
灵魂 9 0.6391
默默 9 0.658
皮诺 9 0.65
声音 9 0.6451
手机 9 0.6367
手术 9 0.6355
体验 9 0.6459
小姐 9 0.6498
校园 9 0.6471
新年 9 0.6433
压力 9 0.6453
正义 9 0.6603
资助 9 0.6579
啊啊 8 0.6614
不小 8 0.6352
搞笑 8 0.6429
工资 8 0.6394
还好 8 0.6458
换人 8 0.6575
回家 8 0.635
回忆 8 0.6422
结石 8 0.6475
可怕 8 0.6416
良心 8 0.6509
妹子 8 0.6659
年轻人 8 0.6431
女孩 8 0.637
女权 8 0.6791
女友 8 0.6388
陪伴 8 0.6511
荣耀 8 0.6537
上课 8 0.6445
生命 8 0.6358
输尿管 8 0.6585
贪玩 8 0.6629
吐槽 8 0.6496
消失 8 0.6394
衣服 8 0.6403
张全 8 0.6738
残忍 7 0.6414
唱歌 7 0.6351
灯泡 7 0.643
讽刺 7 0.6335
管子 7 0.6348
回归 7 0.6347
鸡汤 7 0.6508
块钱 7 0.635
快手 7 0.6673
牛逼 7 0.6635
皮囊 7 0.6344
欺负 7 0.6362
讨厌 7 0.6346
演技 7 0.6355
初心 6 0.6442
电竞 6 0.6547
幼师 6 0.6454
糟粕 6 0.637
