关键词	词频
老胡	25
小孩	15
完美	15
孩子	14
钻石	6
万能	4
啊啊	4
熟读	3
孩子气	3
可怕	4
背诵	3
好听	3
小孩子	3
咬字	2
机械式	2
图书馆	3
朗读	2
类人	2
自闭症	2
班上	2
课文	2
剪辑	2
女生	2
初中	2
课堂	2
情商	2
加油	2
彩蛋	2
人类	2
学习	2
父母	2
刘海	2
妈妈	2
智商	2
可爱	2
五福	2
新年	2
杉杉	1
花叶	1
像机	1
卧底	1
郁郁	1
喜不喜欢	1
人工智能	1
玉兰	1
摆布	1
外星人	1
反常	1
零花钱	1
孝顺	1
笼统	1
草木	1
诡异	1
奉承	1
百米	1
方圆	1
毁灭	1
审判	1
寂静	1
淘气	1
闲话	1
出师表	1
喜好	1
调皮	1
犹如	1
害怕	1
忐忑	1
听话	1
裤子	1
密集	1
欠揍	1
价值观	1
大鱼	1
神经病	1
搞笑	1
掐死	1
人气儿	1
交叉	1
性格	1
心情	1
人生	1
收购	1
机械	1
格式化	1
大祸	1
机器	1
设定	1
回家	1
爸妈	1
怀着	1
支付	1
程序	1
家小	1
好玩	1
个性化	1
嘴里	1
还好	1
糊涂	1
理发	1
家长	1
事迹	1
胳膊	1
时代	1
感动	1
突如其来	1
打电话	1
邻居	1
差距	1
拜托	1
熊本	1
丧钟	1
良心	1
上辈人	1
放假	1
衣服	1
教育	1
厉害	1
刘海儿	1
重要性	1
优秀	1
素质	1
不消	1
好心人	1
前排	1
有道	1
制作人	1
化妆品	1
世界	1
粉丝	1
国际	1
恐怖	1
一期	1
尊重	1
名字	1
播放	1
大早	1
吵醒	1
有种	1
谢谢	1
结尾	1
累死	1
手表	1
感人	1
扬剧	1
算了	1
电视	1
台词	1
写作	1
表弟	1
毛衣	1
